Price,Demand,Criticality,CSL,Fill rate,Fixed costs,Holding costs,Marginal costs,Total costs (no marginal),Total costs,Counts
1,-1,1,1.0,1.0,1656.0,84.14458333333333,173.47999999999996,1740.1445833333332,1913.6245833333332,11
1,-1,2,1.0,0.9935897435897436,3996.0,110.68416666666658,162.24,4106.684166666667,4268.924166666667,39
1,-1,3,1.0,1.0,108.0,0.03479166666666666,0.0,108.03479166666666,108.03479166666666,3
1,-1,4,1.0,1.0,756.0,51.38770833333333,102.54,807.3877083333333,909.9277083333333,7
1,0,1,1.0,1.0,7452.0,269.2320833333336,1084.04,7721.232083333333,8805.272083333333,57
1,0,2,1.0,1.0,31068.0,985.8741666666695,3579.8400000000256,32053.87416666667,35633.714166666694,242
1,0,3,1.0,1.0,1584.0,87.17770833333329,266.15,1671.1777083333334,1937.3277083333332,16
1,0,4,1.0,1.0,14292.0,700.1677083333335,2684.0500000000025,14992.167708333334,17676.217708333337,115
1,1,1,0.810921153592364,0.8658575726689796,50364.0,3065.567083333347,11994.720000000038,53429.56708333335,65424.28708333339,274
1,1,2,0.7725561556531457,0.8405626763359869,136872.0,4262.487291666724,29371.710000000126,141134.48729166674,170506.19729166687,756
1,1,3,0.6929802955665024,0.7774527601133261,4536.0,149.44645833333325,1684.2599999999984,4685.446458333333,6369.706458333331,29
1,1,4,0.650750594434805,0.6529908303718754,81468.0,3108.9583333333226,33462.53999999995,84576.95833333333,118039.49833333328,495
1,2,1,0.7029606196272861,0.5436217283867487,12240.0,3334.82416666667,43290.67000000002,15574.824166666669,58865.494166666685,54
1,2,2,0.6161783914388083,0.45115544152867293,32940.0,4246.597291666668,78569.53000000019,37186.597291666665,115756.12729166685,144
1,2,3,0.6615384615384616,0.5318538490926507,828.0,111.44937500000002,860.6999999999999,939.449375,1800.149375,4
1,2,4,0.5948800711897152,0.32610749383768983,56880.0,4130.175416666664,105056.52000000015,61010.175416666665,166066.6954166668,233
2,-1,1,1.0,1.0,3492.0,5211.050624999996,5222.249999999997,8703.050624999996,13925.300624999993,35
2,-1,2,1.0,1.0,14112.0,17031.47062499999,18915.509999999984,31143.47062499999,50058.980624999975,140
2,-1,3,1.0,1.0,1080.0,2037.2847916666667,1459.2799999999997,3117.284791666667,4576.564791666667,13
2,-1,4,1.0,1.0,1620.0,1494.631875,2345.3100000000004,3114.631875,5459.941875,15
2,0,1,1.0,1.0,19512.0,11624.957291666678,37365.20999999997,31136.95729166668,68502.16729166664,148
2,0,2,1.0,0.9994218260660082,75348.0,48114.42083333345,152330.80000000005,123462.42083333345,275793.2208333335,593
2,0,3,1.0,1.0,5724.0,2616.062291666666,9833.28,8340.062291666665,18173.342291666668,41
2,0,4,1.0,0.9994505494505496,30708.0,18270.236458333355,58441.45000000008,48978.236458333355,107419.68645833342,260
2,1,1,0.8188473260903169,0.9065198948845393,54720.0,36761.61458333331,168385.0999999999,91481.61458333331,259866.7145833332,321
2,1,2,0.7742713554666902,0.8905597516213958,168912.0,108916.39062500044,624418.4799999999,277828.39062500047,902246.8706250003,1029
2,1,3,0.7990674818139605,0.9298030998735225,10260.0,9286.27645833333,38748.67,19546.27645833333,58294.94645833333,71
2,1,4,0.7326140368457303,0.834936334186899,101844.0,47360.343958333346,346225.5299999991,149204.34395833334,495429.87395833246,588
2,2,1,0.7160379303236447,0.5510865351102072,3600.0,3147.551666666667,61310.43,6747.551666666667,68057.98166666667,14
2,2,2,0.6889752965580171,0.5195588546237165,7776.0,23799.335,310309.80999999994,31575.335,341885.14499999996,32
2,2,3,0.5714285714285714,0.45063694267515925,576.0,328.77499999999986,4019.4700000000003,904.7749999999999,4924.245,2
2,2,4,0.6413940556797699,0.4599976841980696,5760.0,6034.869791666669,97122.78000000004,11794.869791666668,108917.64979166671,21
3,-1,1,1.0,1.0,5940.0,93315.96375000004,63247.61,99255.96375000004,162503.57375000004,69
3,-1,2,1.0,1.0,23832.0,267030.61041666724,295621.1800000002,290862.61041666724,586483.7904166675,214
3,-1,3,1.0,1.0,4248.0,48890.86312500002,63088.89999999999,53138.86312500002,116227.763125,39
3,-1,4,1.0,1.0,5292.0,69946.22249999996,94197.53000000003,75238.22249999996,169435.7525,36
3,0,1,1.0,1.0,20808.0,116408.80854166647,331347.70999999973,137216.80854166648,468564.5185416662,159
3,0,2,1.0,0.9979616306954437,86760.0,496811.4274999992,1428784.0599999998,583571.4274999992,2012355.4874999989,695
3,0,3,1.0,1.0,8892.0,61793.24083333329,148684.46999999994,70685.24083333329,219369.71083333323,82
3,0,4,1.0,0.9992307692307693,34380.0,230294.56604166672,634139.1399999999,264674.5660416667,898813.7060416667,260
3,1,1,0.9064285901364553,0.9620659808441216,27792.0,202207.6212500003,724185.69,229999.6212500003,954185.3112500003,178
3,1,2,0.8499078289943679,0.9535135352794635,89100.0,667683.4124999995,2145469.9100000034,756783.4124999995,2902253.322500003,624
3,1,3,0.8270833333333331,0.9621646486229819,9468.0,76582.51583333343,229772.56000000014,86050.51583333343,315823.07583333354,72
3,1,4,0.8614052736299436,0.9320809808738306,41796.0,296588.1185416671,1281554.8900000018,338384.1185416671,1619939.0085416688,227
3,2,1,0.9444444444444444,0.9060402684563758,576.0,30787.08333333334,216820.0,31363.08333333334,248183.08333333334,2
3,2,2,0.9375,0.9718014099295036,864.0,29571.77291666667,118503.87000000001,30435.77291666667,148939.6429166667,4
3,2,4,0.6091686091686092,0.457330498464446,864.0,2472.4112499999997,37957.799999999996,3336.4112499999997,41294.21124999999,3
4,-1,1,1.0,1.0,2880.0,383770.3979166667,137699.6,386650.3979166667,524349.9979166667,42
4,-1,2,1.0,1.0,8856.0,1004228.79375,391208.4000000001,1013084.79375,1404293.19375,118
4,-1,3,1.0,1.0,900.0,84355.51875000002,52144.99999999999,85255.51875000002,137400.51875000002,13
4,-1,4,1.0,1.0,5544.0,467238.0833333336,419979.6999999998,472782.0833333336,892761.7833333334,49
4,0,1,1.0,1.0,2988.0,247426.3104166666,367788.0,250414.3104166666,618202.3104166666,32
4,0,2,1.0,1.0,4356.0,217726.29166666666,435721.40000000026,222082.29166666666,657803.6916666669,43
4,0,3,1.0,1.0,792.0,53846.70416666666,92163.6,54638.70416666666,146802.30416666667,9
4,0,4,1.0,1.0,5436.0,336549.8645833335,660211.9,341985.8645833335,1002197.7645833335,45
4,1,1,0.9510582010582012,0.9651785714285713,3636.0,481157.9604166665,554315.6999999998,484793.9604166665,1039109.6604166664,36
4,1,2,0.9436936936936936,0.9757663507663508,4860.0,365440.2625,772301.1999999997,370300.2625,1142601.4624999997,37
4,1,3,0.9800000000000001,1.0,1188.0,63651.216666666645,147511.60000000003,64839.216666666645,212350.81666666668,10
4,1,4,0.9408602150537635,0.9584293394777267,3312.0,232883.4375000001,644790.8000000003,236195.4375000001,880986.2375000004,31
